energy#1, (U= 800.000 cm^-1)
state= 1
j12= 0
m12= 0
L_ORB  B_IMPACT(a.u.)     DEFLCT_ANGLE(rad)    SCAT_PHASE(rad)       FINISH_TIME(a.u.)    ENERGY_ERROR(%)      NORM_ERROR(%)    LOOPS   OSCIL
   0   0.00000000E+00      0.31415927E+01      -0.66771520E+02        0.37722142E+05      0.33285100E-03      0.21643991E-03       0       0
   1   0.14978241E+00      0.30486128E+01      -0.63676417E+02        0.37752761E+05      0.37817585E-03      0.21431605E-03       0       0
   2   0.29956482E+00      0.29805083E+01      -0.60661857E+02        0.37752761E+05      0.42835234E-03      0.21012500E-03       0       0
   3   0.44934722E+00      0.29137033E+01      -0.57714751E+02        0.37752761E+05      0.38623410E-03      0.20397850E-03       0       0
   4   0.59912963E+00      0.28472474E+01      -0.54834276E+02        0.37783379E+05      0.28880080E-03      0.19603801E-03       0       0
   5   0.74891204E+00      0.27808769E+01      -0.52020214E+02        0.37813998E+05      0.39382669E-03      0.18650572E-03       0       0
   6   0.89869445E+00      0.27144767E+01      -0.49272537E+02        0.37844617E+05      0.27212340E-03      0.17562524E-03       0       0
   7   0.10484769E+01      0.26479786E+01      -0.46591309E+02        0.37905854E+05      0.32163441E-03      0.16366072E-03       0       0
   8   0.11982593E+01      0.25813339E+01      -0.43976653E+02        0.37936472E+05      0.23901534E-03      0.15089753E-03       0       0
   9   0.13480417E+01      0.25145013E+01      -0.41428735E+02        0.37997710E+05      0.20551875E-03      0.13762474E-03       0       0
  10   0.14978241E+01      0.24474437E+01      -0.38947763E+02        0.38058947E+05      0.21661088E-03      0.12412791E-03       0       0
  11   0.16476065E+01      0.23801254E+01      -0.36533978E+02        0.38120184E+05      0.18459845E-03      0.11068013E-03       0       0
  12   0.17973889E+01      0.23125108E+01      -0.34187660E+02        0.38181421E+05      0.16440952E-03      0.97531979E-04       0       0
  13   0.19471713E+01      0.22445638E+01      -0.31909123E+02        0.38273277E+05      0.19153257E-03      0.84904861E-04       0       0
  14   0.20969537E+01      0.21762480E+01      -0.29698717E+02        0.38365133E+05      0.14201722E-03      0.72986775E-04       0       0
  15   0.22467361E+01      0.21075251E+01      -0.27556831E+02        0.38456989E+05      0.77360563E-04      0.61926138E-04       0       0
